time	NK.EXE	filesys.exe	device.exe	cprog.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	poutlook.exe	tmarshaller.exe	IQueue.exe	AEBPlus.exe	DataServer.exe	SSClient.exe	memuse.exe	ENCommLoader.exe	SureLockClient.exe	wceload.exe	KioskCenter.exe	SSTransferAgent.exe	SpeedyMOBILE.exe	uptimesqm.exe	total
3/16/2015 12:49:35 PM	0	0	9027584	1449984	6303744	2289664	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8630272		34148352
3/16/2015 12:49:45 PM	0	0	9027584	1449984	7393280	2289664	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8630272		35237888
3/16/2015 12:49:55 PM	0	0	9027584	1449984	6393856	2289664	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32657408
3/16/2015 12:50:05 PM	0	0	9027584	1449984	6393856	2289664	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8630272		34238464
3/16/2015 12:50:15 PM	0	0	9027584	1449984	6393856	2285568	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8634368		34238464
3/16/2015 12:50:25 PM	0	0	9027584	1449984	6393856	2285568	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	8634368		34238464
3/16/2015 12:50:35 PM	0	0	9027584	1449984	6393856	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32649216
3/16/2015 12:50:45 PM	0	0	9027584	1449984	6393856	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32649216
3/16/2015 12:50:55 PM	0	0	9027584	1449984	6393856	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32649216
3/16/2015 12:51:05 PM	0	0	9027584	1449984	6393856	2281472	978944	368640	86016	90112	585728	172032	1679360	1335296	106496	208896	147456	393216	180224	114688	7049216		32649216
