time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	IQueue.exe	SSClient.exe	RBLogger.exe	RBTimeStamp.exe	SSTransferAgent.exe	memuse.exe	ssLaunch.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	Dw.exe	autorun.exe	RemoteViewer.exe	fexplore.exe	total
20.03.2015 14:12:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:46	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:13:56	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:14:06	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:14:16	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:14:26	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
20.03.2015 14:14:36	0	0	9248768		86016	3563520	1802240	1036288	724992	1208320	2162688	65536	20480		110592		2813952	1626112	5529600					29999104
