time	NK.EXE	filesys.exe	device.exe	uptimesqm.exe	poutlook.exe	gwes.exe	shell32.exe	services.exe	connmgr.exe	calupd.exe	SSClient.exe	RBTimeStamp.exe	IQueue.exe	RBLogger.exe	SSTransferAgent.exe	memuse.exe	RFIDDce.Exe	DataServer.exe	flexmobility.view.CF.exe	repllog.exe	Dw.exe	ssLaunch.exe	MobileCalculator.exe	calnot.exe	Tskschedule.exe	total
20.03.2015 13:06:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32284672
20.03.2015 13:06:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32284672
20.03.2015 13:06:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32284672
20.03.2015 13:07:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32284672
20.03.2015 13:07:10	0	0	9302016		86016	3825664	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32423936
20.03.2015 13:07:20	0	0	9302016		86016	3825664	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5525504	561152			1294336			32423936
20.03.2015 13:07:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2289664	20480	1298432	65536		110592	2813952	1630208	5570560	561152			1294336			32329728
20.03.2015 13:07:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5570560	561152			1294336			32342016
20.03.2015 13:07:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5570560	561152			1294336			32342016
20.03.2015 13:08:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5570560	561152			1294336			32342016
20.03.2015 13:08:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5570560	561152			1294336			32342016
20.03.2015 13:08:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5570560	561152			1294336			32342016
20.03.2015 13:08:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:08:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:08:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:09:50	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:10:00	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:10:10	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:10:20	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:10:30	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
20.03.2015 13:10:40	0	0	9302016		86016	3686400	1806336	1052672	741376		2297856	20480	1302528	65536		110592	2813952	1630208	5554176	561152			1294336			32325632
